Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,1.122925,0.032959,-0.812744,-0.05886,0.024921,0.127214,0,0,0
2,1.17334,0.044678,-0.807007,-0.250869,0.232831,0.167325,0,0,0
3,1.251221,0.047363,-0.768433,-0.425551,0.253479,0.17136,0,0,0
4,1.389648,-0.029419,-0.703247,-0.536864,-0.008544,0.171597,0,0,0
5,1.484009,-0.020386,-0.607178,-0.586943,0.214556,0.068117,0,0,0
6,1.598877,0.053711,-0.53418,-0.556088,0.446674,-0.090901,0,0,0
7,1.695679,0.015137,-0.473877,-0.495567,0.657195,-0.27128,0,0,0
8,1.692261,-0.016235,-0.475098,-0.356248,0.853713,-0.519538,0,0,0
9,1.630737,-0.099121,-0.49231,-0.147626,1.17341,-0.715581,0,0,0
10,1.577759,-0.156372,-0.572632,0.106091,1.372776,-0.775628,0,0,0
11,1.556519,-0.161743,-0.61145,0.369064,1.300387,-0.75759,0,0,0
12,1.545044,-0.105225,-0.694824,0.576974,1.35545,-0.713445,0,0,0
13,1.548828,-0.040405,-0.757813,0.655297,1.532032,-0.67191,0,0,0
14,1.569336,-0.004517,-0.777222,0.561547,1.569294,-0.675233,0,0,0
15,1.587158,0.030396,-0.758789,0.350552,1.360197,-0.745011,0,0,0
16,1.59668,0.048828,-0.730591,0.12935,0.894773,-0.881719,0,0,0
17,1.595459,0.058716,-0.686279,-0.07856,0.529269,-1.063285,0,0,0
18,1.565796,0.037598,-0.623047,-0.283622,0.532354,-1.245324,0,0,0
19,1.544312,-0.012695,-0.538696,-0.465662,0.722938,-1.380134,0,0,0
20,1.50293,-0.064697,-0.464722,-0.566769,0.818824,-1.487174,0,0,0
21,1.461304,-0.098511,-0.445679,-0.574126,0.658145,-1.561224,0,0,0
22,1.421021,-0.105469,-0.441895,-0.54612,0.588841,-1.590655,0,0,0
23,1.375732,-0.081665,-0.481323,-0.511468,0.602607,-1.614389,0,0,0
24,1.325562,-0.052979,-0.533203,-0.496991,0.662179,-1.689388,0,0,0
25,1.252686,-0.038086,-0.572632,-0.543035,0.722227,-1.815891,0,0,0
26,1.153564,-0.048462,-0.606567,-0.636072,0.721277,-1.967551,0,0,0
27,1.045654,-0.062988,-0.616333,-0.760201,0.656721,-2.105446,0,0,0
28,0.941284,-0.075195,-0.612061,-0.890501,0.552054,-2.194211,0,0,0
29,0.8479,-0.094849,-0.619507,-1.00656,0.463526,-2.208689,0,0,0
30,0.778442,-0.100586,-0.598511,-1.106243,0.414871,-2.159322,0,0,0
31,0.726563,-0.089111,-0.581909,-1.177445,0.385915,-2.071269,0,0,0
32,0.669556,-0.077026,-0.558105,-1.225863,0.358384,-1.992946,0,0,0
33,0.602417,-0.062378,-0.549927,-1.249122,0.271992,-1.950225,0,0,0
34,0.524536,-0.054565,-0.532227,-1.267872,0.176819,-1.898722,0,0,0
35,0.427734,-0.056396,-0.516602,-1.287334,0.099446,-1.811381,0,0,0
36,0.335327,-0.045044,-0.525391,-1.321511,0.076898,-1.714546,0,0,0
37,0.237915,-0.035645,-0.528931,-1.361147,0.062183,-1.583534,0,0,0
38,0.186523,-0.022705,-0.515137,-1.398646,0.023971,-1.382982,0,0,0
39,0.163696,0.014404,-0.505371,-1.429501,-0.093275,-1.157746,0,0,0
40,0.145996,0.054443,-0.51123,-1.463915,-0.251581,-0.946276,0,0,0
41,0.122925,0.086426,-0.514648,-1.522538,-0.43101,-0.765185,0,0,0
42,0.121582,0.120361,-0.493286,-1.615338,-0.59786,-0.591215,0,0,0
43,0.139038,0.154663,-0.447021,-1.737806,-0.716293,-0.424839,0,0,0
44,0.12439,0.159302,-0.373413,-1.876887,-0.726973,-0.279587,0,0,0
45,0.083496,0.145508,-0.31897,-1.982029,-0.775391,-0.157594,0,0,0
46,0.045288,0.144775,-0.266357,-2.038753,-0.906403,-0.008544,0,0,0
47,0.040161,0.163696,-0.205811,-2.07744,-1.069218,0.193195,0,0,0
48,0.086426,0.204102,-0.123779,-2.087408,-1.288283,0.406564,0,0,0
49,0.138184,0.221191,-0.043091,-2.07744,-1.440655,0.597148,0,0,0
50,0.148193,0.227661,0.017334,-2.062724,-1.433773,0.773967,0,0,0
51,0.103394,0.20813,0.05188,-2.047535,-1.316289,0.974045,0,0,0
52,0.118042,0.18689,0.104248,-2.03638,-1.208299,1.225863,0,0,0
53,0.168213,0.171509,0.152954,-2.007899,-1.173885,1.502601,0,0,0
54,0.217896,0.158081,0.217773,-1.978231,-1.126892,1.76866,0,0,0
55,0.252441,0.118164,0.286987,-1.949276,-1.031718,2.032345,0,0,0
56,0.301025,0.083252,0.349243,-1.891602,-0.943665,2.300065,0,0,0
57,0.402344,0.080322,0.429077,-1.791919,-0.922542,2.577516,0,0,0
58,0.53186,0.08252,0.513794,-1.653075,-0.909251,2.820077,0,0,0
59,0.612061,0.064941,0.570435,-1.465814,-0.841846,2.959159,0,0,0
60,0.692261,0.0625,0.587769,-1.226812,-0.745486,3.022054,0,0,0
61,0.785156,0.048706,0.597656,-0.979029,-0.668825,3.069759,0,0,0
62,0.90625,0.028442,0.594482,-0.752369,-0.625629,3.112243,0,0,0
63,1.032471,-0.006104,0.59436,-0.548968,-0.550629,3.128382,0,0,0
64,1.131836,-0.042603,0.588867,-0.362181,-0.465662,3.098003,0,0,0
65,1.199707,-0.057861,0.56665,-0.196043,-0.486548,3.010662,0,0,0
66,1.2229,-0.100342,0.531006,-0.067405,-0.529032,2.849745,0,0,0
67,1.260132,-0.153931,0.514282,0.016139,-0.654347,2.70378,0,0,0
68,1.34668,-0.212158,0.530151,0.088291,-0.848017,2.579652,0,0,0
69,1.455078,-0.252441,0.56665,0.217404,-1.127604,2.454336,0,0,0
70,1.565552,-0.296265,0.55957,0.436943,-1.306321,2.311694,0,0,0
71,1.667114,-0.310547,0.479126,0.717717,-1.317001,2.153389,0,0,0
72,1.723511,-0.297363,0.361816,0.960991,-1.178395,2.043737,0,0,0
73,1.739624,-0.348877,0.217651,1.058063,-0.834963,2.041364,0,0,0
74,1.763916,-0.375977,0.106323,1.001339,-0.329666,2.08005,0,0,0
75,1.831177,-0.343994,0.036011,0.959329,-0.246597,2.029259,0,0,0
76,1.932861,-0.345581,-0.03064,0.977367,-0.220964,1.807584,0,0,0
