Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,1.123779,-0.239624,-0.230347,0.364555,-0.756641,0.184651,0,0,0
2,1.047729,-0.178955,-0.159180,0.279112,-0.682591,0.307118,0,0,0
3,1.257690,-0.300293,-0.162964,0.308068,-0.821909,0.492481,0,0,0
4,1.274536,-0.258179,-0.181152,0.367640,-0.622544,0.574838,0,0,0
5,1.327026,-0.280273,-0.207397,0.451896,-0.493905,0.673809,0,0,0
6,1.390747,-0.281006,-0.218262,0.515740,-0.381881,0.734568,0,0,0
7,1.517578,-0.318237,-0.234253,0.600471,-0.526421,0.714632,0,0,0
8,1.512329,-0.259521,-0.296021,0.694220,-0.379982,0.624917,0,0,0
9,1.570679,-0.244019,-0.311523,0.717954,-0.386390,0.500313,0,0,0
10,1.666504,-0.230957,-0.285645,0.743350,-0.376422,0.270093,0,0,0
11,1.649414,-0.225098,-0.281128,0.793429,-0.462102,-0.058623,0,0,0
12,1.635742,-0.265991,-0.324097,0.849916,-0.612101,-0.330615,0,0,0
13,1.624390,-0.308716,-0.344360,0.875548,-0.713920,-0.526658,0,0,0
14,1.610718,-0.282837,-0.391479,0.863444,-0.798887,-0.668588,0,0,0
15,1.603027,-0.306641,-0.433350,0.811466,-0.895010,-0.776340,0,0,0
16,1.588379,-0.317627,-0.466431,0.717954,-1.072066,-0.886941,0,0,0
17,1.594971,-0.303101,-0.473999,0.596911,-1.216132,-1.003237,0,0,0
18,1.606934,-0.281616,-0.531250,0.476817,-1.242476,-1.134249,0,0,0
19,1.619385,-0.267090,-0.624268,0.298811,-1.177920,-1.289232,0,0,0
20,1.645752,-0.260376,-0.705933,0.012342,-0.972858,-1.481003,0,0,0
21,1.681152,-0.243286,-0.797729,-0.357909,-0.639869,-1.711223,0,0,0
22,1.700806,-0.210693,-0.869751,-0.777289,-0.371912,-1.979181,0,0,0
23,1.672852,-0.216309,-0.885742,-1.222302,-0.133860,-2.319052,0,0,0
24,1.558105,-0.230103,-0.854370,-1.664467,0.166376,-2.714223,0,0,0
25,1.381226,-0.265869,-0.789185,-2.078864,0.547307,-3.086848,0,0,0
26,1.146851,-0.308594,-0.720215,-2.405918,0.932035,-3.389219,0,0,0
27,0.923706,-0.357178,-0.664429,-2.616202,1.137809,-3.542066,0,0,0
28,0.747070,-0.382202,-0.634766,-2.779492,1.346194,-3.530199,0,0,0
29,0.641113,-0.363892,-0.600708,-2.913352,1.397460,-3.390169,0,0,0
30,0.581543,-0.339722,-0.547607,-3.042940,1.414548,-3.233761,0,0,0
31,0.519653,-0.329224,-0.435547,-3.129569,1.452048,-3.107022,0,0,0
32,0.454712,-0.319092,-0.324097,-3.110819,1.477918,-3.000219,0,0,0
33,0.377930,-0.292603,-0.226318,-3.014696,1.586383,-2.878700,0,0,0
34,0.279297,-0.253418,-0.141724,-2.905994,1.769372,-2.749350,0,0,0
35,0.154175,-0.196533,-0.075806,-2.787799,1.961143,-2.648005,0,0,0
36,0.039429,-0.177979,-0.016846,-2.660347,2.101886,-2.553782,0,0,0
37,-0.058594,-0.176392,0.052490,-2.507263,2.083136,-2.431077,0,0,0
38,-0.150024,-0.158936,0.122803,-2.285587,1.889941,-2.263989,0,0,0
39,-0.242310,-0.156860,0.178223,-2.011934,1.592316,-2.002203,0,0,0
40,-0.318726,-0.096436,0.220215,-1.710749,1.242714,-1.640259,0,0,0
41,-0.369141,-0.048218,0.231323,-1.433773,0.978317,-1.231559,0,0,0
42,-0.413818,-0.019531,0.256592,-1.188838,0.771119,-0.819536,0,0,0
43,-0.435913,-0.013794,0.277344,-0.941529,0.580060,-0.369539,0,0,0
44,-0.419678,-0.014526,0.298828,-0.682116,0.367640,0.135996,0,0,0
45,-0.354980,-0.012939,0.296753,-0.401342,0.098734,0.669300,0,0,0
46,-0.263794,-0.016235,0.282959,-0.108702,-0.188448,1.194771,0,0,0
47,-0.147949,-0.024292,0.275269,0.159493,-0.380456,1.711936,0,0,0
48,-0.031372,-0.037109,0.280029,0.450472,-0.514079,2.188515,0,0,0
49,0.074219,-0.064209,0.234253,0.810754,-0.672622,2.615015,0,0,0
50,0.198975,-0.099121,0.177612,1.176258,-0.865343,3.016358,0,0,0
51,0.321411,-0.152466,0.098389,1.523250,-1.095800,3.378302,0,0,0
52,0.458008,-0.204834,0.001099,1.837251,-1.373963,3.706781,0,0,0
53,0.578369,-0.258179,-0.084839,2.083848,-1.677046,3.978773,0,0,0
54,0.699951,-0.291748,-0.193115,2.252359,-2.005288,4.207569,0,0,0
55,0.877197,-0.270142,-0.315552,2.287960,-2.302201,4.419276,0,0,0
56,1.028809,-0.300659,-0.410889,2.165255,-2.488276,4.545066,0,0,0
57,1.164063,-0.360474,-0.486084,1.958057,-2.540016,4.614132,0,0,0
58,1.328857,-0.382568,-0.524536,1.692236,-2.538829,4.714290,0,0,0
59,1.552002,-0.358887,-0.566528,1.454659,-2.616914,4.743720,0,0,0
60,1.717163,-0.337769,-0.672363,1.252207,-2.744840,4.599417,0,0,0
61,1.863159,-0.300903,-0.716309,0.979503,-2.694999,4.340716,0,0,0
62,1.983032,-0.294189,-0.745117,0.669300,-2.396899,3.969516,0,0,0
63,2.088379,-0.301025,-0.816895,0.328716,-1.959244,3.533997,0,0,0
64,2.121338,-0.354370,-0.840820,-0.041060,-1.542000,3.066437,0,0,0
65,2.088379,-0.443726,-0.861938,-0.373811,-1.260752,2.590569,0,0,0
66,2.031494,-0.534912,-0.890381,-0.638920,-1.218030,2.224591,0,0,0
67,2.052490,-0.589600,-0.900269,-0.842321,-1.223252,1.982978,0,0,0
68,2.139893,-0.610229,-0.898193,-0.989472,-1.246511,1.771033,0,0,0
69,2.232544,-0.596802,-0.917114,-1.085594,-1.268584,1.513044,0,0,0
70,2.314209,-0.566406,-0.932129,-1.182904,-1.266210,1.170562,0,0,0
71,2.369751,-0.550049,-0.974731,-1.305372,-1.186464,0.751894,0,0,0
72,2.390381,-0.540771,-1.008423,-1.503313,-0.912573,0.322071,0,0,0
